["N0",""]
["N1",""]
["W0",""]
["E0",""]
("W0","mode 1",1,"W0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.4036672147646253e-02 -3.0874252835993903e+00
1.5019662224448897e+14 3.3630300102273275e-02 -3.0833007928812086e+00
1.5049701548897797e+14 3.3243433294110947e-02 -3.0787459064094702e+00
1.5079740873346694e+14 3.2869477561447293e-02 -3.0737351975907115e+00
1.5109780197795591e+14 3.2502898015805887e-02 -3.0683078824934706e+00
1.5139819522244488e+14 3.2139790780582336e-02 -3.0625498290409210e+00
1.5169858846693388e+14 3.1778126477626449e-02 -3.0565709607433544e+00
1.5199898171142284e+14 3.1417674880743866e-02 -3.0504820418852039e+00
1.5229937495591181e+14 3.1059665430332423e-02 -3.0443743309357498e+00
1.5259976820040081e+14 3.0706269000619475e-02 -3.0383047558688503e+00
1.5290016144488978e+14 3.0360001402401970e-02 -3.0322882405076803e+00
1.5320055468937875e+14 3.0023148926589395e-02 -3.0262976780710682e+00
1.5350094793386775e+14 2.9697302087538933e-02 -3.0202708950584540e+00
1.5380134117835672e+14 2.9383058177068811e-02 -3.0141229129269953e+00
1.5410173442284569e+14 2.9079920502313596e-02 -3.0077610739129117e+00
1.5440212766733466e+14 2.8786387915369221e-02 -3.0011003076956464e+00
1.5470252091182366e+14 2.8500198542962776e-02 -2.9940760397705661e+00
1.5500291415631262e+14 2.8218671489631978e-02 -2.9866529078815347e+00
1.5530330740080159e+14 2.7939082300527465e-02 -2.9788283727995704e+00
1.5560370064529059e+14 2.7659011794485926e-02 -2.9706312531392833e+00
1.5590409388977956e+14 2.7376620762519035e-02 -2.9621159859131234e+00
1.5620448713426853e+14 2.7090820963239233e-02 -2.9533539074467012e+00
1.5650488037875750e+14 2.6801331824193232e-02 -2.9444230486709375e+00
1.5680527362324650e+14 2.6508629144295064e-02 -2.9353978953709077e+00
1.5710566686773547e+14 2.6213804984055528e-02 -2.9263403543778388e+00
1.5740606011222444e+14 2.5918366067164540e-02 -2.9172928628849317e+00
1.5770645335671344e+14 2.5624001481506391e-02 -2.9082742332071088e+00
1.5800684660120241e+14 2.5332349855444997e-02 -2.8992784741624402e+00
1.5830723984569138e+14 2.5044792354228528e-02 -2.8902764969291947e+00
1.5860763309018038e+14 2.4762291757865977e-02 -2.8812203189153216e+00
1.5890802633466934e+14 2.4485290531555137e-02 -2.8720491455080630e+00
1.5920841957915831e+14 2.4213673121812974e-02 -2.8626965566767284e+00
1.5950881282364728e+14 2.3946790533535701e-02 -2.8530979665831468e+00
1.5980920606813628e+14 2.3683539211235984e-02 -2.8431975609931417e+00
1.6010959931262525e+14 2.3422481775890600e-02 -2.8329540368700408e+00
1.6040999255711422e+14 2.3161994423655158e-02 -2.8223446472588161e+00
1.6071038580160322e+14 2.2900424726699009e-02 -2.8113672632839317e+00
1.6101077904609219e+14 2.2636243995895967e-02 -2.8000403762727557e+00
1.6131117229058116e+14 2.2368180012662074e-02 -2.7884011560599813e+00
1.6161156553507012e+14 2.2095318556873873e-02 -2.7765018446997809e+00
1.6191195877955912e+14 2.1817165527594884e-02 -2.7644048938738912e+00
1.6221235202404809e+14 2.1533665378327196e-02 -2.7521773488699850e+00
1.6251274526853706e+14 2.1245175864605757e-02 -2.7398850414434262e+00
1.6281313851302606e+14 2.0952403469410071e-02 -2.7275871741916133e+00
1.6311353175751503e+14 2.0656307980407133e-02 -2.7153318523568464e+00
1.6341392500200400e+14 2.0357988097717019e-02 -2.7031530357633256e+00
1.6371431824649300e+14 2.0058562155013594e-02 -2.6910692378911705e+00
1.6401471149098197e+14 1.9759058582901386e-02 -2.6790840945881493e+00
1.6431510473547094e+14 1.9460329337985343e-02 -2.6671886800458653e+00
1.6461549797995991e+14 1.9162996159196345e-02 -2.6553651966315024e+00
1.6491589122444891e+14 1.8867434558930477e-02 -2.6435914531209557e+00
1.6521628446893788e+14 1.8573794636715255e-02 -2.6318454185250189e+00
1.6551667771342684e+14 1.8282052092326591e-02 -2.6201091293526271e+00
1.6581707095791584e+14 1.7992078239458403e-02 -2.6083713469911474e+00
1.6611746420240481e+14 1.7703715227928372e-02 -2.5966285915955392e+00
1.6641785744689378e+14 1.7416842549485091e-02 -2.5848844783214950e+00
1.6671825069138275e+14 1.7131423238513230e-02 -2.5731475956412124e+00
1.6701864393587175e+14 1.6847522531935801e-02 -2.5614284364691713e+00
1.6731903718036072e+14 1.6565297311170502e-02 -2.5497360718348996e+00
1.6761943042484969e+14 1.6284960397869429e-02 -2.5380753105072520e+00
1.6791982366933869e+14 1.6006728671594490e-02 -2.5264450030118946e+00
1.6822021691382766e+14 1.5730767123939764e-02 -2.5148379343812177e+00
1.6852061015831662e+14 1.5457141762205324e-02 -2.5032424397962547e+00
1.6882100340280562e+14 1.5185792549210360e-02 -2.4916455251430025e+00
1.6912139664729459e+14 1.4916533615297378e-02 -2.4800369478770805e+00
1.6942178989178356e+14 1.4649082551176775e-02 -2.4684134799134601e+00
1.6972218313627256e+14 1.4383114743556363e-02 -2.4567824849820439e+00
1.7002257638076153e+14 1.4118333597463817e-02 -2.4451640200494125e+00
1.7032296962525050e+14 1.3854544091113852e-02 -2.4335909012910681e+00
1.7062336286973947e+14 1.3591716060171953e-02 -2.4221065167083249e+00
1.7092375611422847e+14 1.3330025069700453e-02 -2.4107605585144287e+00
1.7122414935871744e+14 1.3069862401319283e-02 -2.3996032230411783e+00
1.7152454260320641e+14 1.2811810891233334e-02 -2.3886787243439578e+00
