["N0",""]
["N1",""]
["W0",""]
["E0",""]
("W0","mode 1",1,"W0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.4295473784645744e-02 -3.1306723486756036e+00
1.5019662224448897e+14 3.5865792249721508e-02 -3.1361113358532497e+00
1.5049701548897797e+14 3.6809124763203527e-02 -3.0955983566444054e+00
1.5079740873346694e+14 3.6228780225471262e-02 -3.0416395262861977e+00
1.5109780197795591e+14 3.4391896885344539e-02 -3.0100614068349780e+00
1.5139819522244488e+14 3.2497494440076102e-02 -3.0230234817410233e+00
1.5169858846693388e+14 3.1877515525251594e-02 -3.0670741021989869e+00
1.5199898171142284e+14 3.2815729962893302e-02 -3.0952756814057096e+00
1.5229937495591181e+14 3.4264517148950402e-02 -3.0757229482848500e+00
1.5259976820040081e+14 3.4861755260957375e-02 -3.0161912885196296e+00
1.5290016144488978e+14 3.3875678492963308e-02 -2.9461271986162658e+00
1.5320055468937875e+14 3.1508166813175364e-02 -2.9002003057826413e+00
1.5350094793386775e+14 2.8806445008555868e-02 -2.9077414809745230e+00
1.5380134117835672e+14 2.7181787722116973e-02 -2.9702434162271616e+00
1.5410173442284569e+14 2.7387980921815391e-02 -3.0421006065654232e+00
1.5440212766733466e+14 2.8827911356966846e-02 -3.0712360680708874e+00
1.5470252091182366e+14 3.0259958131215209e-02 -3.0495290358036788e+00
1.5500291415631262e+14 3.0824357516621936e-02 -2.9998877071661640e+00
1.5530330740080159e+14 3.0367899851486347e-02 -2.9492386847828387e+00
1.5560370064529059e+14 2.9288805395892369e-02 -2.9163087648226211e+00
1.5590409388977956e+14 2.8181892140017418e-02 -2.9058571378174531e+00
1.5620448713426853e+14 2.7435446530040916e-02 -2.9082096456431579e+00
1.5650488037875750e+14 2.7025582768024085e-02 -2.9092604048307220e+00
1.5680527362324650e+14 2.6679663873747105e-02 -2.9035664464381710e+00
1.5710566686773547e+14 2.6209747722923064e-02 -2.8965297552601226e+00
1.5740606011222444e+14 2.5686076104130779e-02 -2.8960947337193521e+00
1.5770645335671344e+14 2.5341102340633435e-02 -2.9032501013551655e+00
1.5800684660120241e+14 2.5318525742838705e-02 -2.9094637283948779e+00
1.5830723984569138e+14 2.5507311395663129e-02 -2.9042594681539748e+00
1.5860763309018038e+14 2.5624468625573878e-02 -2.8849298383993989e+00
1.5890802633466934e+14 2.5443650890555575e-02 -2.8581897703716930e+00
1.5920841957915831e+14 2.4954403054714931e-02 -2.8345472032643535e+00
1.5950881282364728e+14 2.4350099169771461e-02 -2.8210159483968376e+00
1.5980920606813628e+14 2.3867847487981212e-02 -2.8162079433964600e+00
1.6010959931262525e+14 2.3596299526294360e-02 -2.8117404869445721e+00
1.6040999255711422e+14 2.3415232728659811e-02 -2.8001399588538347e+00
1.6071038580160322e+14 2.3121966377825667e-02 -2.7816669377374525e+00
1.6101077904609219e+14 2.2617553300482714e-02 -2.7638174980902543e+00
1.6131117229058116e+14 2.1997633445004446e-02 -2.7552057102230356e+00
1.6161156553507012e+14 2.1488954646760507e-02 -2.7582202615144156e+00
1.6191195877955912e+14 2.1271406945855772e-02 -2.7654383832162828e+00
1.6221235202404809e+14 2.1321424190288651e-02 -2.7645994556646944e+00
1.6251274526853706e+14 2.1423154064330738e-02 -2.7486101123163191e+00
1.6281313851302606e+14 2.1329798391707868e-02 -2.7202879193848188e+00
1.6311353175751503e+14 2.0922792988895166e-02 -2.6893155823737676e+00
1.6341392500200400e+14 2.0267986477051483e-02 -2.6663108456925557e+00
1.6371431824649300e+14 1.9562638652052221e-02 -2.6573021928843881e+00
1.6401471149098197e+14 1.9011973078596339e-02 -2.6602746714835517e+00
1.6431510473547094e+14 1.8706924051950295e-02 -2.6664840962571685e+00
1.6461549797995991e+14 1.8588461776997932e-02 -2.6667872405107715e+00
1.6491589122444891e+14 1.8517202183216525e-02 -2.6573999968973223e+00
1.6521628446893788e+14 1.8372641629403233e-02 -2.6403574120525879e+00
1.6551667771342684e+14 1.8105082840488288e-02 -2.6203754662488992e+00
1.6581707095791584e+14 1.7729632382413669e-02 -2.6018256400724780e+00
1.6611746420240481e+14 1.7293981724159285e-02 -2.5873778052334915e+00
1.6641785744689378e+14 1.6851163556216693e-02 -2.5779638758757635e+00
1.6671825069138275e+14 1.6447187230337463e-02 -2.5730861781311272e+00
1.6701864393587175e+14 1.6114314449010021e-02 -2.5709023660334718e+00
1.6731903718036072e+14 1.5860189532916142e-02 -2.5684789568512869e+00
1.6761943042484969e+14 1.5658877756403358e-02 -2.5629276921253683e+00
1.6791982366933869e+14 1.5459644176223563e-02 -2.5531279038680226e+00
1.6822021691382766e+14 1.5216607502557326e-02 -2.5406338254310676e+00
1.6852061015831662e+14 1.4920266606234590e-02 -2.5287401830141167e+00
1.6882100340280562e+14 1.4604871877660602e-02 -2.5200894719769136e+00
1.6912139664729459e+14 1.4320902479336454e-02 -2.5144438559109448e+00
1.6942178989178356e+14 1.4090402371966175e-02 -2.5086648740234923e+00
1.6972218313627256e+14 1.3883840359699851e-02 -2.4995063087460228e+00
1.7002257638076153e+14 1.3643564737479722e-02 -2.4869221229790908e+00
1.7032296962525050e+14 1.3336286311816881e-02 -2.4747553538699503e+00
1.7062336286973947e+14 1.2990060991125027e-02 -2.4680188260892888e+00
1.7092375611422847e+14 1.2682170325540754e-02 -2.4685168447509884e+00
1.7122414935871744e+14 1.2479783601143360e-02 -2.4721892441418958e+00
